,rmssd,nremhr,entropy,hrv_rolling,steps,steps_normalized,steps_rolling,minutesAsleep,minutesAsleep_normalized,minutesAsleep_rolling,Fat_burn_minutes,Cardio_minutes,Peak_minutes,Resting_minutes,steps_lag1,steps_lag2,steps_lag3,steps_lag4,steps_lag5,steps_lag6,steps_lag7,steps_lag8,steps_lag9,steps_lag10,minutesAsleep_lag1,minutesAsleep_lag2,minutesAsleep_lag3,minutesAsleep_lag4,minutesAsleep_lag5,minutesAsleep_lag6,minutesAsleep_lag7,minutesAsleep_lag8,minutesAsleep_lag9,minutesAsleep_lag10,Cardio_minutes_lag1,Cardio_minutes_lag2,Cardio_minutes_lag3,Cardio_minutes_lag4,Cardio_minutes_lag5,Cardio_minutes_lag6,Cardio_minutes_lag7,Cardio_minutes_lag8,Cardio_minutes_lag9,Cardio_minutes_lag10,Resting_minutes_lag1,Resting_minutes_lag2,Resting_minutes_lag3,Resting_minutes_lag4,Resting_minutes_lag5,Resting_minutes_lag6,Resting_minutes_lag7,Resting_minutes_lag8,Resting_minutes_lag9,Resting_minutes_lag10,Peak_minutes_lag1,Peak_minutes_lag2,Peak_minutes_lag3,Peak_minutes_lag4,Peak_minutes_lag5,Peak_minutes_lag6,Peak_minutes_lag7,Peak_minutes_lag8,Peak_minutes_lag9,Peak_minutes_lag10,Fat_burn_minutes_lag1,Fat_burn_minutes_lag2,Fat_burn_minutes_lag3,Fat_burn_minutes_lag4,Fat_burn_minutes_lag5,Fat_burn_minutes_lag6,Fat_burn_minutes_lag7,Fat_burn_minutes_lag8,Fat_burn_minutes_lag9,Fat_burn_minutes_lag10,rmssd_lag1,rmssd_lag2,rmssd_lag3,rmssd_lag4,rmssd_lag5,rmssd_lag6,rmssd_lag7,rmssd_lag8,rmssd_lag9,rmssd_lag10
2022-02-27,52.053,53.789,2.833,57.29075,2542,25.42,65.72749999999999,395,39.5,35.95,49.0,2.0,0.0,1375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,61.281,49.983,2.935,56.82899999999999,6426,64.26,74.98400000000001,328,32.8,34.5,74.0,1.0,0.0,1327.0,2542.0,,,,,,,,,,395.0,,,,,,,,,,2.0,,,,,,,,,,1375.0,,,,,,,,,,0.0,,,,,,,,,,49.0,,,,,,,,,,52.053,,,,,,,,,
2022-03-01,59.392,50.798,2.943,57.0015,9602,96.02,73.24833333333333,321,32.1,35.333333333333336,301.0,2.0,0.0,1133.0,6426.0,2542.0,,,,,,,,,328.0,395.0,,,,,,,,,1.0,2.0,,,,,,,,,1327.0,1375.0,,,,,,,,,0.0,0.0,,,,,,,,,74.0,49.0,,,,,,,,,61.281,52.053,,,,,,,,
2022-03-02,56.437,54.837,2.829,56.220142857142854,7721,77.21,65.76571428571428,394,39.4,38.05714285714286,63.0,0.0,0.0,1318.0,9602.0,6426.0,2542.0,,,,,,,,321.0,328.0,395.0,,,,,,,,2.0,1.0,2.0,,,,,,,,1133.0,1327.0,1375.0,,,,,,,,0.0,0.0,0.0,,,,,,,,301.0,74.0,49.0,,,,,,,,59.392,61.281,52.053,,,,,,,
2022-03-03,54.982,52.368,2.927,58.457857142857144,11201,112.01,66.73857142857142,287,28.7,39.114285714285714,134.0,0.0,0.0,1261.0,7721.0,9602.0,6426.0,2542.0,,,,,,,394.0,321.0,328.0,395.0,,,,,,,0.0,2.0,1.0,2.0,,,,,,,1318.0,1133.0,1327.0,1375.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,63.0,301.0,74.0,49.0,,,,,,,56.437,59.392,61.281,52.053,,,,,,
2022-03-04,57.864,52.193,3.068,58.22671428571429,6457,64.57,65.61428571428571,395,39.5,41.142857142857146,101.0,0.0,0.0,1337.0,11201.0,7721.0,9602.0,6426.0,2542.0,,,,,,287.0,394.0,321.0,328.0,395.0,,,,,,0.0,0.0,2.0,1.0,2.0,,,,,,1261.0,1318.0,1133.0,1327.0,1375.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,134.0,63.0,301.0,74.0,49.0,,,,,,54.982,56.437,59.392,61.281,52.053,,,,,
2022-03-05,51.532,57.26,2.96,59.09585714285714,2087,20.87,69.71000000000001,544,54.4,42.31428571428571,25.0,0.0,0.0,1308.0,6457.0,11201.0,7721.0,9602.0,6426.0,2542.0,,,,,395.0,287.0,394.0,321.0,328.0,395.0,,,,,0.0,0.0,0.0,2.0,1.0,2.0,,,,,1337.0,1261.0,1318.0,1133.0,1327.0,1375.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,101.0,134.0,63.0,301.0,74.0,49.0,,,,,57.864,54.982,56.437,59.392,61.281,52.053,,,,
2022-03-06,67.717,51.803,3.028,59.44085714285713,3223,32.23,72.54285714285713,469,46.9,42.75714285714286,33.0,0.0,0.0,1404.0,2087.0,6457.0,11201.0,7721.0,9602.0,6426.0,2542.0,,,,544.0,395.0,287.0,394.0,321.0,328.0,395.0,,,,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,,,1308.0,1337.0,1261.0,1318.0,1133.0,1327.0,1375.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25.0,101.0,134.0,63.0,301.0,74.0,49.0,,,,51.532,57.864,54.982,56.437,59.392,61.281,52.053,,,
2022-03-07,59.663,50.971,2.882,60.69528571428571,5639,56.39,71.31428571428572,470,47.0,45.214285714285715,47.0,0.0,0.0,1380.0,3223.0,2087.0,6457.0,11201.0,7721.0,9602.0,6426.0,2542.0,,,469.0,544.0,395.0,287.0,394.0,321.0,328.0,395.0,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,,1404.0,1308.0,1337.0,1261.0,1318.0,1133.0,1327.0,1375.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,33.0,25.0,101.0,134.0,63.0,301.0,74.0,49.0,,,67.717,51.532,57.864,54.982,56.437,59.392,61.281,52.053,,
2022-03-08,65.476,51.952,2.988,60.55385714285713,12469,124.69,70.40285714285714,403,40.3,46.98571428571429,206.0,13.0,1.0,1162.0,5639.0,3223.0,2087.0,6457.0,11201.0,7721.0,9602.0,6426.0,2542.0,,470.0,469.0,544.0,395.0,287.0,394.0,321.0,328.0,395.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,1380.0,1404.0,1308.0,1337.0,1261.0,1318.0,1133.0,1327.0,1375.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,47.0,33.0,25.0,101.0,134.0,63.0,301.0,74.0,49.0,,59.663,67.717,51.532,57.864,54.982,56.437,59.392,61.281,52.053,
2022-03-09,58.852,55.352,2.904,61.422999999999995,9704,97.04,81.25999999999999,425,42.5,42.32857142857143,96.0,0.0,0.0,1190.0,12469.0,5639.0,3223.0,2087.0,6457.0,11201.0,7721.0,9602.0,6426.0,2542.0,403.0,470.0,469.0,544.0,395.0,287.0,394.0,321.0,328.0,395.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1162.0,1380.0,1404.0,1308.0,1337.0,1261.0,1318.0,1133.0,1327.0,1375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,47.0,33.0,25.0,101.0,134.0,63.0,301.0,74.0,49.0,65.476,59.663,67.717,51.532,57.864,54.982,56.437,59.392,61.281,52.053
2022-03-10,63.763,51.354,2.875,58.739714285714285,10341,103.41,79.92571428571429,459,45.9,41.84285714285714,102.0,0.0,0.0,1334.0,9704.0,12469.0,5639.0,3223.0,2087.0,6457.0,11201.0,7721.0,9602.0,6426.0,425.0,403.0,470.0,469.0,544.0,395.0,287.0,394.0,321.0,328.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1190.0,1162.0,1380.0,1404.0,1308.0,1337.0,1261.0,1318.0,1133.0,1327.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,206.0,47.0,33.0,25.0,101.0,134.0,63.0,301.0,74.0,58.852,65.476,59.663,67.717,51.532,57.864,54.982,56.437,59.392,61.281
2022-03-11,56.874,53.753,2.895,57.05014285714286,5819,58.19,86.11,519,51.9,43.55714285714286,125.0,10.0,0.0,1302.0,10341.0,9704.0,12469.0,5639.0,3223.0,2087.0,6457.0,11201.0,7721.0,9602.0,459.0,425.0,403.0,470.0,469.0,544.0,395.0,287.0,394.0,321.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1334.0,1190.0,1162.0,1380.0,1404.0,1308.0,1337.0,1261.0,1318.0,1133.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,96.0,206.0,47.0,33.0,25.0,101.0,134.0,63.0,301.0,63.763,58.852,65.476,59.663,67.717,51.532,57.864,54.982,56.437,59.392
2022-03-12,57.616,54.275,2.492,54.523285714285706,9687,96.87,72.78857142857143,218,21.8,43.042857142857144,238.0,0.0,0.0,1102.0,5819.0,10341.0,9704.0,12469.0,5639.0,3223.0,2087.0,6457.0,11201.0,7721.0,519.0,459.0,425.0,403.0,470.0,469.0,544.0,395.0,287.0,394.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,1334.0,1190.0,1162.0,1380.0,1404.0,1308.0,1337.0,1261.0,1318.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,102.0,96.0,206.0,47.0,33.0,25.0,101.0,134.0,63.0,56.874,63.763,58.852,65.476,59.663,67.717,51.532,57.864,54.982,56.437
2022-03-13,48.934,55.72,2.865,53.207857142857144,2289,22.89,75.37714285714286,435,43.5,41.885714285714286,47.0,2.0,0.0,1382.0,9687.0,5819.0,10341.0,9704.0,12469.0,5639.0,3223.0,2087.0,6457.0,11201.0,218.0,519.0,459.0,425.0,403.0,470.0,469.0,544.0,395.0,287.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1102.0,1302.0,1334.0,1190.0,1162.0,1380.0,1404.0,1308.0,1337.0,1261.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,238.0,125.0,102.0,96.0,206.0,47.0,33.0,25.0,101.0,134.0,57.616,56.874,63.763,58.852,65.476,59.663,67.717,51.532,57.864,54.982
2022-03-14,47.836,55.187,2.793,51.58471428571429,9968,99.68,74.56285714285714,590,59.0,42.957142857142856,97.0,1.0,0.0,1328.0,2289.0,9687.0,5819.0,10341.0,9704.0,12469.0,5639.0,3223.0,2087.0,6457.0,435.0,218.0,519.0,459.0,425.0,403.0,470.0,469.0,544.0,395.0,2.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1382.0,1102.0,1302.0,1334.0,1190.0,1162.0,1380.0,1404.0,1308.0,1337.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,238.0,125.0,102.0,96.0,206.0,47.0,33.0,25.0,101.0,48.934,57.616,56.874,63.763,58.852,65.476,59.663,67.717,51.532,57.864
2022-03-15,47.788,54.82,2.733,53.441428571428574,3144,31.44,75.0,367,36.7,40.68571428571429,18.0,0.0,0.0,1415.0,9968.0,2289.0,9687.0,5819.0,10341.0,9704.0,12469.0,5639.0,3223.0,2087.0,590.0,435.0,218.0,519.0,459.0,425.0,403.0,470.0,469.0,544.0,1.0,2.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,1328.0,1382.0,1102.0,1302.0,1334.0,1190.0,1162.0,1380.0,1404.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,47.0,238.0,125.0,102.0,96.0,206.0,47.0,33.0,25.0,47.836,48.934,57.616,56.874,63.763,58.852,65.476,59.663,67.717,51.532
